K00001	E1.1.1.1	alcohol dehydrogenase
K15669	hddC	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase
K15675	rhiB	rhizoxin biosynthesis, polyketide synthase / nonribosomal peptide synthetase RhiB
K15678	rhiE	rhizoxin biosynthesis, polyketide synthase RhiE
K15721	fyuA	pesticin/yersiniabactin receptor
K15722	cedA	cell division activator
K15723	syd	SecY interacting protein Syd
K15724	erpA	iron-sulfur cluster insertion protein
K15725	czcC, cusC, cnrC	outer membrane protein, heavy metal efflux system
K15726	czcA, cusA, cnrA	heavy metal efflux system protein
K15727	czcB, cusB, cnrB	membrane fusion protein, heavy metal efflux system
K15733	E1.11.1.19	dye decolorizing peroxidase
K15734	SDR16C5	all-trans-retinol dehydrogenase (NAD+)
K15735	csiR	GntR family transcriptional regulator, carbon starvation induced regulator
K15736	lhgO	(S)-2-hydroxyglutarate dehydrogenase
K15737	csiD	glutarate dioxygenase
K15738	uup	ABC transport system ATP-binding/permease protein
K15739	vanB	D-alanine---(R)-lactate ligase
K15746	crtZ	beta-carotene 3-hydroxylase
K15770	cycB	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein
K15771	ganP	arabinogalactan oligomer / maltooligosaccharide transport system permease protein
K15772	ganQ	arabinogalactan oligomer / maltooligosaccharide transport system permease protein
K15773	hipB	HTH-type transcriptional regulator / antitoxin HipB
K15777	DODA	4,5-DOPA dioxygenase extradiol
K15778	pmm-pgm	phosphomannomutase / phosphoglucomutase
K15780	tilS-hprT	bifunctional protein TilS/HprT
K15783	doeA	ectoine hydrolase
K15784	doeB	N2-acetyl-L-2,4-diaminobutanoate deacetylase
K15790	nifQ	nitrogen fixation protein NifQ
K15792	murEF	MurE/MurF fusion protein
K15827	hycB	formate hydrogenlyase subunit 2
K15828	hycC	formate hydrogenlyase subunit 3
K15829	hycD	formate hydrogenlyase subunit 4
K15830	hycE	formate hydrogenlyase subunit 5
K15831	hycF	formate hydrogenlyase subunit 6
K15832	hycG	formate hydrogenlyase subunit 7
K15833	hycA	formate hydrogenlyase regulatory protein HycA
K15834	hycH	formate hydrogenlyase maturation protein HycH
K15835	murR	RpiR family transcriptional regulator, murPQ operon repressor
K15836	fhlA	formate hydrogenlyase transcriptional activator
K15852	luxR	LuxR family transcriptional regulator, transcriptional activator of the bioluminescence operon
K15855	csxA	exo-1,4-beta-D-glucosaminidase
K15856	rmd	GDP-4-dehydro-6-deoxy-D-mannose reductase
K15858	ascF	CDP-3, 6-dideoxy-D-glycero-L-glycero-4-hexulose-4-reductase
K15860	ciaX	regulatory peptide CiaX
K15864	nirS	nitrite reductase (NO-forming) / hydroxylamine reductase
K15866	paaG	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase
K15868	baiB	bile acid-coenzyme A ligase
K15869	baiA	3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase
K15870	baiCD	3-oxocholoyl-CoA 4-desaturase
K15871	baiF	bile acid CoA-transferase
K15872	baiE	bile-acid 7alpha-dehydratase
K15873	baiH	7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase
K15874	baiI	bile acid 7beta-dehydratase
K15876	nrfH	cytochrome c nitrite reductase small subunit
K15888	uppS	tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific]
K15893	HPR1	glycerate dehydrogenase
K15894	pseB	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase
K15895	pseC	UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase
K15896	pseH	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
K15897	pseG	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
K15898	pseI	pseudaminic acid synthase
K15899	pseF	pseudaminic acid cytidylyltransferase
K15904	kae1-bud32	bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32
K15910	pglE	UDP-N-acetylbacillosamine transaminase
K15912	pglF	UDP-N-acetylglucosamine 4,6-dehydratase
K15913	pglD	UDP-N-acetylbacillosamine N-acetyltransferase
K15914	pglA	N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
K15915	pglC	undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
K15916	pgi-pmi	glucose/mannose-6-phosphate isomerase
K15921	xynD	arabinoxylan arabinofuranohydrolase
K15922	yihQ	sulfoquinovosidase
K15923	AXY8	alpha-L-fucosidase 2
K15924	xynC	glucuronoarabinoxylan endo-1,4-beta-xylanase
K15973	mhqR	MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor
K15974	emrR, mprA	MarR family transcriptional regulator, negative regulator of the multidrug operon emrRAB
K15975	K15975	glyoxalase family protein
K15976	K15976	putative NAD(P)H nitroreductase
K15977	K15977	putative oxidoreductase
K15984	rsmJ	16S rRNA (guanine1516-N2)-methyltransferase
K15986	ppaC	manganese-dependent inorganic pyrophosphatase
K15987	hppA	K(+)-stimulated pyrophosphate-energized sodium pump
K15999	megY	mycarose O-acyltransferase
K16007	oleAI	8,8a-deoxyoleandolide synthase 1
K16011	algA	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase
K16012	cydC	ATP-binding cassette, subfamily C, bacterial CydC
K16013	cydD	ATP-binding cassette, subfamily C, bacterial CydD
K16014	cydCD	ATP-binding cassette, subfamily C, bacterial CydCD
K16017	rifM	AHBA synthesis associated protein
K16020	rifG	5-deoxy-5-amino-3-dehydroquinate synthase
K16041	nleA	non-LEE-encoded effector NleA
K16042	nleH	non-LEE-encoded effector NleH
K16043	iolX	scyllo-inositol 2-dehydrogenase (NAD+)
K16044	iolW	scyllo-inositol 2-dehydrogenase (NADP+)
K16050	hsaD	4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase
K16051	tesI	3-oxo-5alpha-steroid 4-dehydrogenase
K16052	ynaI, mscMJ	MscS family membrane protein
K16053	ybdG, mscM	miniconductance mechanosensitive channel
K16055	TPS	trehalose 6-phosphate synthase/phosphatase
K16066	ydfG	3-hydroxy acid dehydrogenase / malonic semialdehyde reductase
K16074	zntB	zinc transporter
K16076	nmpC, ompD	outer membrane porin protein LC
K16077	scrY	sucrose porin
K16078	ail	attachment invasion locus protein
K16080	mnoP	high affinity Mn2+ porin
K16081	algE	alginate production protein
K16087	TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR	hemoglobin/transferrin/lactoferrin receptor protein
K16088	TC.FEV.OM1, fhuE, fpvA, fptA	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
K16089	TC.FEV.OM2, cirA, cfrA, hmuR	outer membrane receptor for ferrienterochelin and colicins
K16090	fiu	catecholate siderophore receptor
K16091	fecA	Fe(3+) dicitrate transport protein
K16092	btuB	vitamin B12 transporter
K16093	bacA	bacitracin synthase 1
K16094	bacB	bacitracin synthase 2
K16095	bacC	bacitracin synthase 3
K16096	grsA	gramicidin S synthase 1
K16097	grsB	gramicidin S synthase 2
K16106	blmVI	nonribosomal peptide synthetase protein BlmVI
K16108	blmX	nonribosomal peptide synthetase protein BlmX
K16112	blmIV	nonribosomal peptide synthetase protein BlmIV
K16113	blmIII	nonribosomal peptide synthetase protein BlmIII
K16122	tycA	tyrocidine synthetase I
K16123	tycB	tyrocidine synthetase II
K16124	tycC	tyrocidine synthetase III
K16126	syrB1	L-threonine---[L-threonyl-carrier protein] ligase
K16127	mcyG	microcystin synthetase protein McyG
K16135	dmlR	LysR family transcriptional regulator, transcriptional activator for dmlA
K16136	malI	LacI family transcriptional regulator, maltose regulon regulatory protein
K16137	nemR	TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
K16138	uidR	TetR/AcrR family transcriptional regulator, repressor for uid operon
K16139	uidB, gusB	glucuronide carrier protein
K16140	uidC, gusC	putative glucuronide porin
K16146	pep2	maltokinase
K16147	glgE	starch synthase (maltosyl-transferring)
K16148	glgM	alpha-maltose-1-phosphate synthase
K16149	NA	1
K16150	NA	glycogen synthase
K16152	hasR	heme acquisition protein HasR
K16153	NA	glycogen phosphorylase/synthase
K16165	nagK	fumarylpyruvate hydrolase
K16167	bpsA, srsA, pks11, pks10	alkylresorcinol/alkylpyrone synthase
K16168	bpsB, srsB	methyltransferase
K16169	pbuX	xanthine permease
K16170	pucJ, pucK	uric acid permease
K16171	faaH	fumarylacetoacetate (FAA) hydrolase
K16176	mtmB	methylamine---corrinoid protein Co-methyltransferase
K16178	mtbB	dimethylamine---corrinoid protein Co-methyltransferase
K16179	mtbC	dimethylamine corrinoid protein
K16180	pylB	methylornithine synthase
K16181	pylC	3-methylornithine--L-lysine ligase
K16182	pylD	3-methylornithyl-N6-L-lysine dehydrogenase
K16188	ytpB	tetraprenyl-beta-curcumene synthase
K16190	GLCAK	glucuronokinase
K16191	K16191, arfA	peptidoglycan-binding protein ArfA
K16199	dppE	dipeptide transport system substrate-binding protein
K16200	dppB1	dipeptide transport system permease protein
K16201	dppC	dipeptide transport system permease protein
K16202	dppD	dipeptide transport system ATP-binding protein
K16203	dppA1	D-amino peptidase
K16209	lacS, galP, rafP	lactose/raffinose/galactose permease
K16210	togT, rhiT	oligogalacturonide transporter
K16211	malY, malT	maltose/moltooligosaccharide transporter
K16212	mgp	4-O-beta-D-mannosyl-D-glucose phosphorylase
K16213	cbe, mbe	cellobiose epimerase
K16214	pezT	UDP-N-acetylglucosamine kinase
K16216	yueD	benzil reductase ((S)-benzoin forming)
K16228	mps1	glycopeptidolipid biosynthesis protein
K16234	hutT	histidine transporter
K16235	mmuP	S-methylmethionine transporter
K16236	hutM	histidine permease
K16237	aroP	aromatic amino acid permease
K16238	eat, eutP	ethanolamine permease
K16246	dmpP	phenol/toluene 2-monooxygenase (NADH) P5/A5
K16247	gutR	LuxR family transcriptional regulator, glucitol operon activator
K16248	gutA, gutP	probable glucitol transport protein GutA
K16263	yjeH	amino acid efflux transporter
K16264	czcD, zitB	cobalt-zinc-cadmium efflux system protein
K16267	zipB	zinc and cadmium transporter
K16291	erfK	L,D-transpeptidase ErfK/SrfK
K16293	psrB	polysulfide reductase chain B
K16294	psrC	polysulfide reductase chain C
K16301	efeB	deferrochelatase/peroxidase EfeB
K16302	CNNM	metal transporter CNNM
K16306	NA	fructose-bisphosphate aldolase / 2-amino-3
K16317	trmY	tRNA (pseudouridine54-N1)-methyltransferase
K16321	gntP	high-affinity gluconate transporter
K16322	pit	low-affinity inorganic phosphate transporter
K16323	yxjA, nupG	purine nucleoside transport protein
K16324	psuT	putative pseudouridine transporter
K16325	nupX	nucleoside permease
K16326	yeiL	CRP/FNR family transcriptional regulator, putaive post-exponential-phase nitrogen-starvation regulator
K16328	psuK	pseudouridine kinase
K16329	psuG	pseudouridylate synthase
K16331	ylnA, cysP	sulfate permease
K16345	xanP	xanthine permease XanP
K16346	xanQ	xanthine permease XanQ
K16347	ecnA	entericidin A
K16348	ecnB	entericidin B
K16363	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase
K16370	pfkB	6-phosphofructokinase 2
K16371	gatZ-kbaZ	D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ
K16378	rapP	pipecolate-incorporating enzyme
K16395	epoB	epothilone synthetase B
K16396	epoC	epothilone polyketide synthase C
K16397	epoD	epothilone polyketide synthase D
K16405	stiA	stigmatellin polyketide synthase StiA
K16406	stiB	stigmatellin polyketide synthase StiB
K16407	stiC	stigmatellin polyketide synthase StiC
K16408	stiD	stigmatellin polyketide synthase StiD
K16409	stiE	stigmatellin polyketide synthase StiE
K16410	stiF	stigmatellin polyketide synthase StiF
K16411	stiG	stigmatellin polyketide synthase StiG
K16412	stiH	stigmatellin polyketide synthase StiH
K16416	mxaA	myxalamid-type nonribosomal peptide synthetase MxaA
K16422	hmo	4-hydroxymandelate oxidase
K16428	cepA	nonribosomal peptide synthetase CepA
K16429	cepB	nonribosomal peptide synthetase CepB
K16435	evaA	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase
K16436	evaB	dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose/dTDP-2,6-dideoxy-D-kanosamine transaminase
K16509	spxA	regulatory protein spx
K16511	mecA1_2	adapter protein MecA 1/2
K16514	galD	4-oxalomesaconate tautomerase
K16515	galB	4-oxalomesaconate hydratase
K16516	galR	LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway
K16554	exoP	polysaccharide biosynthesis transport protein
K16555	exoO	succinoglycan biosynthesis protein ExoO
K16563	exoV	succinoglycan biosynthesis protein ExoV
K16593	bioI	pimeloyl-[acyl-carrier protein] synthase
K16619	plc	phospholipase C / alpha-toxin
K16628	COL7A	collagen type VII alpha
K16635	exoS	exoenzyme S
K16636	exoT	exoenzyme T
K16637	K16637, exoY	adenylate cyclase ExoY
K16638	exoU	exoenzyme U
K16647	aftC	arabinofuranan 3-O-arabinosyltransferase
K16648	aftD	arabinofuranan 3-O-arabinosyltransferase
K16649	glft1	rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase
K16650	glft2	galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase
K16651	pduX	L-threonine kinase
K16652	dprE2	decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
K16653	dprE1	decaprenylphospho-beta-D-ribofuranose 2-oxidase
K16692	etk-wzc	tyrosine-protein kinase Etk/Wzc
K16693	wzxE	enterobacterial common antigen flippase
K16694	tuaB	teichuronic acid exporter
K16695	wzxC	lipopolysaccharide exporter
K16696	amsL	exopolysaccharide (amylovoran) exporter
K16697	tuaC	teichuronic acid biosynthesis glycosyltransferase TuaC
K16698	tuaG	teichuronic acid biosynthesis glycosyltransferase TuaG
K16699	tuaH	teichuronic acid biosynthesis glycosyltransferase TuaH
K16700	amsB	amylovoran/stewartan biosynthesis glycosyltransferase AmsB/CpsE
K16701	amsD	amylovoran biosynthesis glycosyltransferase AmsD
K16702	amsE	amylovoran biosynthesis glycosyltransferase AmsE
K16703	wcaL	colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK
K16704	rffC	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase
K16705	tuaE	teichuronic acid biosynthesis protein TuaE
K16706	tuaF	teichuronic acid biosynthesis protein TuaF
K16710	wcaK	colanic acid/amylovoran biosynthesis protein WcaK/AmsJ
K16711	wcaM	colanic acid biosynthesis protein WcaM
K16783	bioN	biotin transport system permease protein
K16784	bioM	biotin transport system ATP-binding protein
K16785	ecfT	energy-coupling factor transport system permease protein
K16786	ecfA1	energy-coupling factor transport system ATP-binding protein
K16787	ecfA2	energy-coupling factor transport system ATP-binding protein
K16788	niaX	niacin transporter
K16789	thiT	thiamine transporter
K16792	aksD	methanogen homoaconitase large subunit
K16793	aksE	methanogen homoaconitase small subunit
K16838	pucL	urate oxidase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
K16839	hpxO	FAD-dependent urate hydroxylase
K16840	hpxQ	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
K16841	hpxA	allantoin racemase
K16842	hpxB	allantoinase
K16843	slcC	(S)-sulfolactate dehydrogenase
K16844	comC	(2R)-3-sulfolactate dehydrogenase (NADP+)
K16845	suyA	(2R)-sulfolactate sulfo-lyase subunit alpha
K16846	suyB	(2R)-sulfolactate sulfo-lyase subunit beta
K16849	uxaA1	altronate dehydratase small subunit
K16850	uxaA2	altronate dehydratase large subunit
K16868	tehB	tellurite methyltransferase
K16869	lipL	octanoyl-[GcvH]:protein N-octanoyltransferase
K16870	wbbL	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
K16872	E2.3.1.207	beta-ketodecanoyl-[acyl-carrier-protein] synthase
K16874	hmfF	2,5-furandicarboxylate decarboxylase 1
K16875	hmfG	2,5-furandicarboxylate decarboxylase 2
K16877	hmfA	2-furoyl-CoA dehydrogenase large subunit
K16880	hmfE	2-oxoglutaroyl-CoA hydrolase
K16881	NA	mannose-1-phosphate guanylyltransferase / phosphomannomutase
K16885	qmoA	quinone-modifying oxidoreductase, subunit QmoA
K16886	qmoB	quinone-modifying oxidoreductase, subunit QmoB
K16887	qmoC	quinone-modifying oxidoreductase, subunit QmoC
K16898	addA	ATP-dependent helicase/nuclease subunit A
K16899	addB	ATP-dependent helicase/nuclease subunit B
K16905	NA	fluoroquinolone transport system permease protein
K16906	NA	fluoroquinolone transport system permease protein
K16907	NA	fluoroquinolone transport system ATP-binding protein
K16915	cbiL	nickel transport protein
K16916	yydJ	putative peptide transport system permease protein
K16917	yydI	putative peptide transport system ATP-binding protein
K16918	ytrF	acetoin utilization transport system permease protein
K16919	ytrC_D	acetoin utilization transport system permease protein
K16920	ytrE	acetoin utilization transport system ATP-binding protein
K16921	ytrB	acetoin utilization transport system ATP-binding protein
K16922	yydH	putative peptide zinc metalloprotease protein
K16923	qrtT	energy-coupling factor transport system substrate-specific component
K16924	mtsT	energy-coupling factor transport system substrate-specific component
K16925	ykoE	energy-coupling factor transport system permease protein
K16926	htsT	energy-coupling factor transport system substrate-specific component
K16927	cbrT	energy-coupling factor transport system substrate-specific component
K16928	mtaT	energy-coupling factor transport system substrate-specific component
K16929	K16929	energy-coupling factor transport system substrate-specific component
K16936	doxA	thiosulfate dehydrogenase (quinone) small subunit
K16937	doxD	thiosulfate dehydrogenase (quinone) large subunit
K16950	asrA	anaerobic sulfite reductase subunit A
K16951	asrB	anaerobic sulfite reductase subunit B
K16954	mtsA	methylthiol:coenzyme M methyltransferase
K16955	mtsB	methylated-thiol--corrinoid protein
K16957	tcyK	L-cystine transport system substrate-binding protein
K16958	tcyL	L-cystine transport system permease protein
K16959	tcyM	L-cystine transport system permease protein
K16960	tcyN	L-cystine transport system ATP-binding protein
K16961	yxeM	putative S-methylcysteine transport system substrate-binding protein
K16962	yxeN	putative S-methylcysteine transport system permease protein
K16963	yxeO	putative S-methylcysteine transport system ATP-binding protein
K17050	serA	selenate/chlorate reductase subunit alpha
K17060	aauS	two-component system, sensor histidine kinase AauS
K17061	aauR	two-component system, response regulator AauR
K17062	bgtB	arginine/lysine/histidine/glutamine transport system substrate-binding and permease protein
K17064	ddh	D-2-hydroxyacid dehydrogenase (NADP+)
K17073	lysX1	putative lysine transport system substrate-binding protein
K17074	lysX2	putative lysine transport system permease protein
K17076	lysY	putative lysine transport system ATP-binding protein
K17103	CHO1	CDP-diacylglycerol---serine O-phosphatidyltransferase
K17104	E2.5.1.41	phosphoglycerol geranylgeranyltransferase
K17105	E2.5.1.42	geranylgeranylglycerol-phosphate geranylgeranyltransferase
K17108	GBA2	non-lysosomal glucosylceramidase
K17195	alsE	D-allulose-6-phosphate 3-epimerase
K17202	eryG	erythritol transport system substrate-binding protein
K17203	eryF	erythritol transport system permease protein
K17204	eryE	erythritol transport system ATP-binding protein
K17205	xltC	putative xylitol transport system substrate-binding protein
K17206	xltB	putative xylitol transport system permease protein
K17207	xltA	putative xylitol transport system ATP-binding protein
K17208	ibpA	inositol transport system substrate-binding protein
K17209	iatP	inositol transport system permease protein
K17210	iatA	inositol transport system ATP-binding protein
K17213	NA	inositol transport system substrate-binding protein
K17214	NA	inositol transport system permease protein
K17215	NA	inositol transport system ATP-binding protein
K17216	mccA	cystathionine beta-synthase (O-acetyl-L-serine)
K17217	mccB	cystathionine gamma-lyase / homocysteine desulfhydrase
K17218	sqr	sulfide:quinone oxidoreductase
K17222	soxA	L-cysteine S-thiosulfotransferase
K17223	soxX	L-cysteine S-thiosulfotransferase
K17226	soxY	sulfur-oxidizing protein SoxY
K17227	soxZ	sulfur-oxidizing protein SoxZ
K17228	sfnG	dimethylsulfone monooxygenase
K17229	fccB	sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
K17230	fccA	cytochrome subunit of sulfide dehydrogenase
K17234	araN	arabinooligosaccharide transport system substrate-binding protein
K17235	araP	arabinooligosaccharide transport system permease protein
K17236	araQ	arabinooligosaccharide transport system permease protein
K17237	inoE	inositol-phosphate transport system substrate-binding protein
K17238	inoF	inositol-phosphate transport system permease protein
K17239	inoG	inositol-phosphate transport system permease protein
K17240	inoK	inositol-phosphate transport system ATP-binding protein
K17241	aguE	alpha-1,4-digalacturonate transport system substrate-binding protein
K17242	aguF	alpha-1,4-digalacturonate transport system permease protein
K17243	aguG	alpha-1,4-digalacturonate transport system permease protein
K17244	chiE	putative chitobiose transport system substrate-binding protein
K17245	chiF	putative chitobiose transport system permease protein
K17246	chiG	putative chitobiose transport system permease protein
K17247	msrQ	methionine sulfoxide reductase heme-binding subunit
K17248	pglJ	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
K17249	pglH	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
K17250	pglI	GalNAc5-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase
K17251	pglB	undecaprenyl-diphosphooligosaccharide---protein glycotransferase
K17266	MVP	major vault protein
K17311	treS	trehalose transport system substrate-binding protein
K17312	treT	trehalose transport system permease protein
K17313	treU	trehalose transport system permease protein
K17315	gtsA	glucose/mannose transport system substrate-binding protein
K17316	gtsB	glucose/mannose transport system permease protein
K17317	gtsC	glucose/mannose transport system permease protein
K17318	lplA	putative aldouronate transport system substrate-binding protein
K17319	lplB	putative aldouronate transport system permease protein
K17320	lplC	putative aldouronate transport system permease protein
K17321	glpV	glycerol transport system substrate-binding protein
K17322	glpP	glycerol transport system permease protein
K17323	glpQ	glycerol transport system permease protein
K17326	bxlE	xylobiose transport system substrate-binding protein
K17329	dasA	N,N'-diacetylchitobiose transport system substrate-binding protein
K17330	dasB	N,N'-diacetylchitobiose transport system permease protein
K17331	dasC	N,N'-diacetylchitobiose transport system permease protein
K17363	urdA	urocanate reductase
K17398	DNMT3A	DNA (cytosine-5)-methyltransferase 3A
K17462	yrrT	putative AdoMet-dependent methyltransferase
K17463	dgaF	2-dehydro-3-deoxy-phosphogluconate aldolase
K17464	dgaA	D-glucosaminate PTS system EIIA component
K17465	dgaB	D-glucosaminate PTS system EIIB component
K17466	dgaC	D-glucosaminate PTS system EIIC component
K17467	dgaD	D-glucosaminate PTS system EIID component
K17468	dgaE	D-glucosaminate-6-phosphate ammonia-lyase
K17472	cymR	Rrf2 family transcriptional regulator, cysteine metabolism repressor
K17473	dgaR	sigma-54 dependent transcriptional regulator, dga operon transcriptional activator
K17488	mptA	GTP cyclohydrolase IV
K17489	E2.1.3.1-12S	methylmalonyl-CoA carboxyltransferase 12S subunit
K17623	PUDP, HDHD1	pseudouridine 5'-phosphatase
K17624	engCP, engBF, endoEF	endo-alpha-N-acetylgalactosaminidase
K17640	bxlR	LacI family transcriptional regulator, xylobiose transport system transcriptional regulator
K17675	SUPV3L1, SUV3	ATP-dependent RNA helicase SUPV3L1/SUV3
K17680	PEO1	twinkle protein
K17686	copA	P-type Cu+ transporter
K17713	bamB	outer membrane protein assembly factor BamB
K17716	capD	UDP-glucose 4-epimerase
K17722	preT	dihydropyrimidine dehydrogenase (NAD+) subunit PreT
K17723	preA	dihydropyrimidine dehydrogenase (NAD+) subunit PreA
K17733	cwlK	peptidoglycan LD-endopeptidase CwlK
K17734	aprX	serine protease AprX
K17735	lcdH, cdhA	carnitine 3-dehydrogenase
K17736	cdhR	AraC family transcriptional regulator, carnitine catabolism transcriptional activator
K17737	dhcR	LysR family transcriptional regulator, carnitine catabolism transcriptional activator
K17752	rsbT	serine/threonine-protein kinase RsbT
K17754	cpnA	cyclopentanol dehydrogenase
K17758	nnrD	ADP-dependent NAD(P)H-hydrate dehydratase
K17759	NAXE, nnrE	NAD(P)H-hydrate epimerase
K17763	rsbR	rsbT co-antagonist protein RsbR
K17810	asl	D-aspartate ligase
K17818	ARD1	D-arabinitol dehydrogenase (NADP+)
K17828	pyrDI	dihydroorotate dehydrogenase (NAD+) catalytic subunit
K17829	ccrA	crotonyl-CoA reductase
K17830	GGR	digeranylgeranylglycerophospholipid reductase
K17835	griH	3-amino-4-hydroxybenzoic acid synthase
K17836	penP	beta-lactamase class A
K17837	bla2	metallo-beta-lactamase class B
K17838	oxa	beta-lactamase class D
K17850	ampR	LysR family transcriptional regulator, regulator of gene expression of beta-lactamase
K17865	croR	3-hydroxybutyryl-CoA dehydratase
K17869	nox2	NADH oxidase (H2O-forming)
K17870	nox1	NADH oxidase (H2O2-forming)
K17881	aadB	aminoglycoside 2''-adenylyltransferase
K17882	aadD, knt	kanamycin nucleotidyltransferase
K17883	mtr	mycothione reductase
K17884	E2.7.8.39	archaetidylinositol phosphate synthase
K17893	AOX1, AOX2	ubiquinol oxidase
K17898	oraE	D-ornithine 4,5-aminomutase subunit beta
K17899	oraS	D-ornithine 4,5-aminomutase subunit alpha
K17910	aphD	aminoglycoside 2''-phosphotransferase
K17938	sbmA, bacA	peptide/bleomycin uptake transporter
K17940	pqsH	2-heptyl-3-hydroxy-4(1H)-quinolone synthase
K17947	wbiB	dTDP-L-rhamnose 4-epimerase
K17948	nanM	N-acetylneuraminate epimerase
K17950	cuyA	L-cysteate sulfo-lyase
K17989	SDS	L-serine/L-threonine ammonia-lyase
K17992	hndB	NADP-reducing hydrogenase subunit HndB
K17999	hydC	iron-hydrogenase subunit gamma
K18000	pqsA	anthranilate-CoA ligase
K18001	pqsB	2-heptyl-4(1H)-quinolone synthase subunit PqsB
K18002	pqsC	2-heptyl-4(1H)-quinolone synthase subunit PqsC
K18003	pqsD	anthraniloyl-CoA anthraniloyltransferase
K18004	pqsL	HQNO biosynthesis monooxygenase PqsL
K18005	hoxF	[NiFe] hydrogenase diaphorase moiety large subunit
K18006	hoxU	[NiFe] hydrogenase diaphorase moiety small subunit
K18008	hydA	[NiFe] hydrogenase small subunit
K18009	budC	meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase
K18011	kamE	beta-lysine 5,6-aminomutase beta subunit
K18012	kdd	L-erythro-3,5-diaminohexanoate dehydrogenase
K18013	kce	3-keto-5-aminohexanoate cleavage enzyme
K18014	kal	3-aminobutyryl-CoA ammonia-lyase
K18015	elaD	deubiquitinase
K18016	mbhL	membrane-bound hydrogenase subunit alpha
K18022	cutC	glyceraldehyde dehydrogenase small subunit
K18023	mbhJ	membrane-bound hydrogenase subunit mbhJ
K18028	nicX	2,5-dihydroxypyridine 5,6-dioxygenase
K18029	nicA	nicotinate dehydrogenase subunit A
K18030	nicB	nicotinate dehydrogenase subunit B
K18072	parS	two-component system, OmpR family, sensor kinase ParS
K18073	parR	two-component system, OmpR family, response regulator ParR
K18093	oprD	imipenem/basic amino acid-specific outer membrane pore
K18094	mexX	membrane fusion protein, multidrug efflux system
K18095	mexY	multidrug efflux pump
K18099	rhlR	LuxR family transcriptional regulator, quorum-sensing system regulator RhlR
K18100	rhlA	rhamnosyltransferase subunit A
K18101	rhlB	rhamnosyltransferase subunit B
K18104	abcA	ATP-binding cassette, subfamily B, bacterial AbcA/BmrA
K18106	GAAA	D-galacturonate reductase
K18115	sqhC	sporulenol synthase
K18118	aarC	succinyl-CoA:acetate CoA-transferase
K18119	sucD	succinate-semialdehyde dehydrogenase
K18120	4hbD	4-hydroxybutyrate dehydrogenase
K18122	cat2	4-hydroxybutyrate CoA-transferase
